YYYY DOY HR MN     1
2017 110  0  0    4.67
2017 110  3  0    5.67
2017 110  6  0    4.00
2017 110  9  0    4.67
2017 110 12  0    3.33
2017 110 15  0    2.67
2017 110 18  0    3.00
2017 110 21  0    2.33
2017 111  0  0    0.33
2017 111  3  0    1.33
2017 111  6  0    1.00
2017 111  9  0    0.33
2017 111 12  0    1.67
2017 111 15  0    4.33
2017 111 18  0    5.00
2017 111 21  0    4.67
2017 112  0  0    5.00
2017 112  3  0    5.67
2017 112  6  0    5.00
2017 112  9  0    5.00
2017 112 12  0    5.00
2017 112 15  0    4.67
2017 112 18  0    3.67
2017 112 21  0    5.33
2017 113  0  0    4.00
2017 113  3  0    4.00
2017 113  6  0    5.33
2017 113  9  0    4.33
2017 113 12  0    5.00
2017 113 15  0    4.67
2017 113 18  0    4.00
2017 113 21  0    4.33
2017 114  0  0    3.33
2017 114  3  0    4.00
2017 114  6  0    3.33
2017 114  9  0    3.67
2017 114 12  0    2.00
2017 114 15  0    3.33
2017 114 18  0    3.67
2017 114 21  0    3.33
2017 115  0  0    2.67
2017 115  3  0    2.67
2017 115  6  0    2.33
2017 115  9  0    2.00
2017 115 12  0    3.00
2017 115 15  0    2.00
2017 115 18  0    2.33
2017 115 21  0    2.00
