Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/D, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 110  1 51    0.51   518.3  13.94  7.49    -5
2017 110  1 52   -0.73 99999.9 999.99 99.99    -5
2017 110  1 53    1.25 99999.9 999.99 99.99    -4
2017 110  1 54    1.54   518.3  15.73  8.45    -3
2017 110  1 55    2.59   518.3  15.73  8.45    -3
2017 110  1 56   -1.02 99999.9 999.99 99.99    -3
2017 110  1 57    0.59 99999.9 999.99 99.99    -3
2017 110  1 58    1.69   514.2  16.44  8.69    -2
2017 110  1 59    0.03   514.2  16.44  8.69    -1
2017 110  2  0    1.09 99999.9 999.99 99.99    -1
2017 110  2  1   -0.04   508.0  15.34  7.92    -1
2017 110  2  2   -0.90   508.0  15.34  7.92    -1
2017 110  2  3   -1.19 99999.9 999.99 99.99    -1
2017 110  2  4   -8.80 99999.9 999.99 99.99    -1
2017 110  2  5   -5.64   518.5  13.89  7.47    -1
2017 110  2  6   -3.34   534.1  10.46  5.97    -1
2017 110  2  7    0.37   535.4  15.99  9.17    -1
2017 110  2  8   -4.30   531.4  15.84  8.95     0
2017 110  2  9   -8.14   537.5  16.46  9.51     0
2017 110  2 10   -8.89   534.9   9.45  5.41     0
2017 110  2 11   -8.99   538.2  10.46  6.06     0
2017 110  2 12   -9.09   535.8  12.39  7.11    -1
2017 110  2 13   -8.68   535.6  12.43  7.13     0
2017 110  2 14   -7.65   534.0  11.81  6.74     0
2017 110  2 15   -7.61   534.0  11.81  6.74    -1
2017 110  2 16   -7.18   534.2  10.40  5.94    -1
2017 110  2 17   -6.45   534.2  10.40  5.94    -2
2017 110  2 18   -6.45 99999.9 999.99 99.99    -1
2017 110  2 19   -6.16 99999.9 999.99 99.99    -1
2017 110  2 20   -6.98 99999.9 999.99 99.99    -1
2017 110  2 21   -6.97 99999.9 999.99 99.99     0
2017 110  2 22   -7.74   541.4  12.43  7.29     1
2017 110  2 23 9999.99   541.4  12.43  7.29     1
2017 110  2 24   -7.82 99999.9 999.99 99.99     2
2017 110  2 25 9999.99 99999.9 999.99 99.99     3
2017 110  2 26   -7.77 99999.9 999.99 99.99     3
2017 110  2 27   -7.76 99999.9 999.99 99.99     3
2017 110  2 28   -7.40   542.5  10.66  6.27     3
2017 110  2 29   -7.40   542.5  10.66  6.27     3
2017 110  2 30   -6.69   541.0  12.75  7.46     3
2017 110  2 31   -7.14   542.6  11.90  7.01     3
2017 110  2 32   -7.38   545.6  10.50  6.25     4
2017 110  2 33   -6.79   545.2  10.85  6.45     4
2017 110  2 34   -6.56 99999.9 999.99 99.99     4
2017 110  2 35   -6.37   554.8   9.75  6.00     4
2017 110  2 36   -5.67   554.8   9.75  6.00     4
2017 110  2 37   -7.26   529.3  12.11  6.79     3
2017 110  2 38   -6.29   543.3  11.86  7.00     3
2017 110  2 39   -6.87   544.0  11.60  6.87     3
2017 110  2 40   -7.32   556.8  14.43  8.95     3
2017 110  2 41   -7.75   544.1  12.86  7.61     3
2017 110  2 42   -8.06   544.1  11.97  7.09     3
2017 110  2 43   -7.66   548.5  13.33  8.02     3
2017 110  2 44   -6.40   545.4  11.79  7.01     3
2017 110  2 45   -6.67   545.3  12.04  7.16     2
2017 110  2 46   -6.68   545.2  12.42  7.38     2
2017 110  2 47   -6.55   545.8  12.97  7.73     2
2017 110  2 48   -5.67   540.7  12.97  7.58     2
2017 110  2 49   -4.75   548.4  13.07  7.86     2
2017 110  2 50   -5.72   543.4  13.30  7.85     2
2017 110  2 51   -5.64   539.7  12.78  7.45     2
2017 110  2 52   -5.04   542.3  12.53  7.37     2
2017 110  2 53   -5.76   542.0  13.40  7.87     2
2017 110  2 54   -4.95   542.6  12.81  7.54     2
2017 110  2 55   -4.78   540.9  12.46  7.29     2
2017 110  2 56   -4.50   542.3  12.25  7.21     2
2017 110  2 57   -4.94 99999.9 999.99 99.99     2
2017 110  2 58   -5.51   542.9  12.39  7.30     2
2017 110  2 59   -4.91   543.1  12.25  7.23     2
2017 110  3  0   -4.20   540.5  12.60  7.36     2
2017 110  3  1   -4.15   540.2  12.64  7.38     2
2017 110  3  2   -4.35   541.4  12.39  7.26     2
2017 110  3  3   -6.05   539.4  13.41  7.80     1
2017 110  3  4   -6.12   538.5  13.23  7.67     1
2017 110  3  5   -5.34   540.5  12.79  7.47     0
2017 110  3  6   -5.61   543.2  11.95  7.05     0
2017 110  3  7   -5.88   542.4  12.28  7.23     0
2017 110  3  8   -6.50   548.1  12.14  7.29     0
2017 110  3  9   -6.53   535.8  13.25  7.61     1
2017 110  3 10   -5.61   535.8  13.25  7.61     2
2017 110  3 11   -6.22   538.1  13.17  7.63     3
2017 110  3 12   -7.65   538.1  13.17  7.63     4
2017 110  3 13   -6.49   542.2  13.55  7.97     4
2017 110  3 14   -7.74   542.2  13.55  7.97     5
2017 110  3 15   -7.61   539.6  13.66  7.95     6
2017 110  3 16   -6.94   541.5  13.32  7.81     6
2017 110  3 17   -7.48   543.9  12.89  7.63     7
2017 110  3 18 9999.99 99999.9 999.99 99.99     8
2017 110  3 19   -8.15 99999.9 999.99 99.99     9
2017 110  3 20   -7.79   533.0  13.40  7.61    10
2017 110  3 21   -7.61   533.0  13.40  7.61    11
2017 110  3 22   -7.61 99999.9 999.99 99.99    12
2017 110  3 23   -7.08 99999.9 999.99 99.99    13
2017 110  3 24 9999.99 99999.9 999.99 99.99    13
2017 110  3 25   -7.00   531.6  13.23  7.48    14
2017 110  3 26   -7.31   531.6  13.23  7.48    14
2017 110  3 27   -7.68 99999.9 999.99 99.99    15
2017 110  3 28   -7.63   538.4  12.67  7.35    15
2017 110  3 29   -7.61   538.4  12.67  7.35    15
2017 110  3 30   -7.99 99999.9 999.99 99.99    15
2017 110  3 31   -8.21   535.8  11.35  6.52    14
2017 110  3 32   -7.81   535.8  11.35  6.52    14
2017 110  3 33   -8.16 99999.9 999.99 99.99    13
2017 110  3 34   -7.97   537.5  13.02  7.52    12
2017 110  3 35   -7.67   537.5  13.02  7.52    11
2017 110  3 36 9999.99 99999.9 999.99 99.99     9
2017 110  3 37 9999.99 99999.9 999.99 99.99     8
2017 110  3 38   -6.98 99999.9 999.99 99.99     7
2017 110  3 39   -6.91 99999.9 999.99 99.99     6
2017 110  3 40   -6.70   533.0  12.34  7.01     5
