Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/H, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 196  1 54   -0.12   347.1   7.09  1.71     8
2017 196  1 55   -0.13   347.6   6.90  1.67     8
2017 196  1 56   -0.12   347.9   6.84  1.66     8
2017 196  1 57   -0.18   347.7   7.05  1.70     8
2017 196  1 58   -0.17   347.5   7.29  1.76     8
2017 196  1 59   -0.22   346.8   7.14  1.72     8
2017 196  2  0   -0.25   347.0   7.23  1.74     8
2017 196  2  1   -0.27   347.4   7.35  1.77     8
2017 196  2  2   -0.32   346.6   7.01  1.68     7
2017 196  2  3   -0.31   347.0   7.32  1.76     7
2017 196  2  4   -0.91   347.0   7.32  1.76     7
2017 196  2  5   -0.92   347.2   6.96  1.68     7
2017 196  2  6   -1.08   346.8   6.77  1.63     7
2017 196  2  7   -1.07   346.5   6.70  1.61     7
2017 196  2  8   -1.05   346.2   6.75  1.62     7
2017 196  2  9   -0.85   346.0   6.59  1.58     7
2017 196  2 10   -0.79   345.0   6.88  1.64     7
2017 196  2 11   -0.94   345.8   6.76  1.62     7
2017 196  2 12   -0.98   346.3   6.91  1.66     7
2017 196  2 13   -0.96   346.1   6.85  1.64     7
2017 196  2 14   -1.11   346.3   6.82  1.64     6
2017 196  2 15   -1.09   346.1   6.98  1.67     7
2017 196  2 16   -1.06   346.8   6.81  1.64     6
2017 196  2 17   -0.98   347.3   6.78  1.64     6
2017 196  2 18   -0.89   347.3   6.78  1.64     6
2017 196  2 19   -0.84   345.0   7.30  1.74     6
2017 196  2 20   -0.90   345.3   6.93  1.65     6
2017 196  2 21   -0.89   345.4   6.85  1.63     6
2017 196  2 22   -0.82   346.1   6.46  1.55     6
2017 196  2 23   -0.81   344.8   6.48  1.54     6
2017 196  2 24   -0.86   344.8   6.58  1.56     6
2017 196  2 25   -0.81   344.9   6.99  1.66     6
2017 196  2 26   -0.85   343.6   6.57  1.55     5
2017 196  2 27   -0.87   345.8   6.73  1.61     5
2017 196  2 28   -0.94 99999.9 999.99 99.99     6
2017 196  2 29   -0.90   342.9   6.36  1.50     6
2017 196  2 30   -0.86   343.2   5.81  1.37     6
2017 196  2 31   -1.02   343.3   5.76  1.36     5
2017 196  2 32   -0.88   343.8   5.80  1.37     5
2017 196  2 33   -0.90   342.7   5.91  1.39     5
2017 196  2 34   -1.42   342.5   6.00  1.41     5
2017 196  2 35   -1.17   342.4   6.01  1.41     5
2017 196  2 36   -1.36   345.2   5.39  1.28     5
2017 196  2 37   -1.42   346.3   5.39  1.29     5
2017 196  2 38   -1.41   344.5   5.38  1.28     5
2017 196  2 39   -1.52   344.4   5.38  1.28     5
2017 196  2 40   -1.45 99999.9 999.99 99.99     4
2017 196  2 41   -1.34 99999.9 999.99 99.99     4
2017 196  2 42   -1.26   344.9   5.94  1.41     4
2017 196  2 43   -1.25   342.8   5.54  1.30     5
2017 196  2 44   -1.02   342.6   5.51  1.29     4
2017 196  2 45   -1.05   342.8   5.51  1.29     5
2017 196  2 46   -1.04   342.5   5.19  1.22     4
2017 196  2 47   -1.17   342.5   5.03  1.18     4
2017 196  2 48   -1.19   342.5   5.02  1.18     4
2017 196  2 49   -1.22   340.7   5.14  1.19     4
2017 196  2 50   -1.14   341.0   5.54  1.29     4
2017 196  2 51   -1.20   341.1   5.63  1.31     3
2017 196  2 52   -1.11   342.1   5.44  1.27     3
2017 196  2 53   -1.07   341.9   5.79  1.35     3
2017 196  2 54   -1.15   341.9   5.79  1.35     3
2017 196  2 55   -1.17   341.1   5.23  1.22     3
2017 196  2 56   -1.26   341.6   5.57  1.30     3
2017 196  2 57   -0.83   341.6   5.60  1.31     3
2017 196  2 58   -0.84   341.7   5.23  1.22     3
2017 196  2 59   -1.08   342.0   5.75  1.35     3
2017 196  3  0   -1.04   341.4   6.17  1.44     2
2017 196  3  1   -1.01   342.1   5.87  1.37     2
2017 196  3  2   -1.08   342.1   5.75  1.35     2
2017 196  3  3   -1.16   341.8   5.75  1.34     2
2017 196  3  4   -1.28   342.1   5.75  1.35     2
2017 196  3  5   -1.31   342.4   5.90  1.38     2
2017 196  3  6   -1.39   343.2   5.94  1.40     2
2017 196  3  7   -1.12   342.2   5.85  1.37     3
2017 196  3  8   -1.15   342.2   5.85  1.37     3
2017 196  3  9   -0.87   340.7   5.94  1.38     3
2017 196  3 10   -0.82   341.6   5.45  1.27     2
2017 196  3 11   -1.04   343.0   5.55  1.31     2
2017 196  3 12   -0.93   344.1   5.45  1.29     2
2017 196  3 13   -0.89   345.8   5.73  1.37     2
2017 196  3 14   -0.77   343.4   5.71  1.35     2
2017 196  3 15   -0.78   341.4   5.26  1.23     2
2017 196  3 16   -0.70   343.5   5.58  1.32     2
2017 196  3 17   -0.68   344.4   5.61  1.33     2
2017 196  3 18   -0.72   343.9   5.31  1.26     2
2017 196  3 19   -0.72   343.6   5.45  1.29     2
2017 196  3 20   -0.73   343.0   5.86  1.38     2
2017 196  3 21   -0.84   342.8   5.78  1.36     2
2017 196  3 22   -0.85   343.3   5.69  1.34     2
2017 196  3 23   -0.85   342.2   5.50  1.29     2
2017 196  3 24   -0.88   343.4   5.50  1.30     2
2017 196  3 25   -0.86   342.2   6.06  1.42     2
2017 196  3 26   -0.95   342.6   5.48  1.29     2
2017 196  3 27   -0.95   342.2   5.85  1.37     2
2017 196  3 28   -0.92   341.9   5.36  1.25     2
2017 196  3 29   -0.89   342.2   5.08  1.19     2
2017 196  3 30   -1.07   341.3   5.04  1.17     2
2017 196  3 31   -1.17   342.7   5.31  1.25     2
2017 196  3 32   -1.23   341.4   4.77  1.11     2
2017 196  3 33   -1.15   342.6   5.40  1.27     2
2017 196  3 34   -1.36   342.8   5.53  1.30     2
2017 196  3 35   -1.36   337.8   4.71  1.07     2
2017 196  3 36   -1.59   340.5   5.01  1.16     2
2017 196  3 37   -1.70   339.9   5.32  1.23     2
2017 196  3 38   -1.54   339.3   5.34  1.23     2
2017 196  3 39   -0.95   338.1   4.69  1.07     2
2017 196  3 40   -0.71   338.3   4.72  1.08     2
2017 196  3 41   -0.32   338.2   4.36  1.00     2
2017 196  3 42   -0.28   338.5   4.40  1.01     2
2017 196  3 43   -0.30   338.5   4.40  1.01     2
2017 196  3 44   -0.38   337.0   4.79  1.09     2
2017 196  3 45   -0.26   337.0   4.79  1.09     2
2017 196  3 46   -0.17 99999.9 999.99 99.99     2
2017 196  3 47   -0.45 99999.9 999.99 99.99     2
2017 196  3 48   -0.44   339.4   5.31  1.22     2
2017 196  3 49   -0.31   340.3   4.86  1.13     2
2017 196  3 50   -0.78   340.2   4.99  1.16     2
2017 196  3 51   -0.83   340.4   4.84  1.12     2
2017 196  3 52   -0.96   339.2   5.14  1.18     2
2017 196  3 53   -1.13   338.9   5.21  1.20     2
2017 196  3 54   -1.01   338.6   5.37  1.23     2
2017 196  3 55   -1.18   339.0   5.18  1.19     2
2017 196  3 56   -1.25   339.6   4.89  1.13     2
2017 196  3 57   -1.32   339.5   5.04  1.16     1
2017 196  3 58   -1.38   338.7   5.10  1.17     1
2017 196  3 59   -1.27   339.2   4.99  1.15     1
2017 196  4  0   -1.26   338.3   4.91  1.12     1
2017 196  4  1   -1.34   338.1   4.63  1.06     1
2017 196  4  2   -1.29   337.6   4.94  1.13     1
2017 196  4  3   -1.19   338.1   4.86  1.11     2
2017 196  4  4   -1.18   337.9   4.92  1.12     1
2017 196  4  5   -1.31   339.2   4.84  1.11     1
2017 196  4  6   -1.32   337.6   4.64  1.06     1
2017 196  4  7   -1.40   339.5   4.83  1.11     1
2017 196  4  8   -1.51 99999.9 999.99 99.99     1
2017 196  4  9   -1.50   338.3   4.98  1.14     1
2017 196  4 10   -1.36   338.8   4.96  1.14     1
2017 196  4 11   -1.23   338.4   4.62  1.06     2
2017 196  4 12   -1.33   338.3   4.93  1.13     2
2017 196  4 13   -1.53   338.3   5.20  1.19     2
2017 196  4 14   -1.83   338.5   4.81  1.10     2
2017 196  4 15   -1.66   337.9   5.00  1.14     2
2017 196  4 16   -1.57   337.3   5.03  1.14     2
2017 196  4 17   -1.60   338.7   5.09  1.17     2
2017 196  4 18   -1.59   339.1   5.17  1.19     2
2017 196  4 19   -1.68   339.0   5.20  1.20     2
2017 196  4 20   -0.58   339.0   5.16  1.19     2
2017 196  4 21   -0.81   340.8   5.59  1.30     1
2017 196  4 22   -1.06   339.4   5.32  1.23     1
2017 196  4 23   -0.83   338.7   6.28  1.44     2
2017 196  4 24   -0.89   342.7   5.77  1.36     2
2017 196  4 25   -0.92   343.2   5.14  1.21     2
2017 196  4 26   -1.06   342.4   4.96  1.16     2
2017 196  4 27   -1.06   340.9   5.63  1.31     2
2017 196  4 28   -1.07   340.9   5.63  1.31     2
2017 196  4 29   -1.02   341.5   5.24  1.22     2
2017 196  4 30   -1.09   341.5   5.24  1.22     3
2017 196  4 31   -1.20   340.2   5.43  1.26     2
2017 196  4 32   -1.14   340.0   5.46  1.26     2
2017 196  4 33   -1.17   340.4   5.94  1.38     2
2017 196  4 34   -1.19   340.3   6.07  1.41     2
2017 196  4 35   -1.26   340.1   6.09  1.41     2
2017 196  4 36   -1.28   338.1   6.02  1.38     2
2017 196  4 37   -1.25   339.8   6.01  1.39     2
2017 196  4 38   -1.17   340.1   5.94  1.37     2
2017 196  4 39   -1.24   339.7   6.27  1.45     2
2017 196  4 40   -1.16   338.5   5.57  1.28     2
2017 196  4 41   -1.23   340.7   5.20  1.21     2
2017 196  4 42   -1.26   341.0   5.16  1.20     2
2017 196  4 43   -1.28   340.4   5.33  1.24     2
2017 196  4 44   -1.18   340.3   5.35  1.24     2
2017 196  4 45   -1.23   339.6   5.50  1.27     2
2017 196  4 46   -1.20   340.3   5.09  1.18     2
2017 196  4 47   -1.21   339.9   4.91  1.13     2
2017 196  4 48   -1.23   340.4   5.10  1.18     2
2017 196  4 49   -1.15   340.8   5.47  1.27     2
2017 196  4 50   -1.19   341.9   5.19  1.21     2
2017 196  4 51   -1.51   342.1   5.15  1.21     2
2017 196  4 52   -1.56   339.3   4.98  1.15     2
2017 196  4 53   -1.67   339.7   4.98  1.15     2
2017 196  4 54   -1.80   340.6   4.99  1.16     2
2017 196  4 55   -1.88   340.4   5.09  1.18     2
2017 196  4 56   -1.87   338.4   4.70  1.08     2
2017 196  4 57   -1.97   338.4   4.89  1.12     2
2017 196  4 58   -2.09   338.2   4.85  1.11     2
2017 196  4 59   -2.25   337.9   4.92  1.12     1
2017 196  5  0   -2.28   337.5   5.06  1.15     1
2017 196  5  1   -2.28 99999.9 999.99 99.99     1
2017 196  5  2   -2.31   335.2   5.48  1.23     1
2017 196  5  3   -2.31   335.9   5.39  1.22     1
2017 196  5  4   -2.26   337.7   5.07  1.16     1
2017 196  5  5   -2.19   336.7   4.92  1.12     1
2017 196  5  6   -2.07   337.3   5.72  1.30     1
2017 196  5  7   -1.81   336.5   5.63  1.27     0
2017 196  5  8   -1.52   337.3   5.78  1.32     0
2017 196  5  9   -0.26   337.7   5.85  1.33     1
2017 196  5 10   -0.39   337.6   5.78  1.32     1
2017 196  5 11   -0.16   337.5   5.59  1.27     2
2017 196  5 12   -0.15   336.4   5.86  1.33     2
2017 196  5 13   -0.18   336.4   5.86  1.33     2
2017 196  5 14   -0.37   334.4   5.82  1.30     2
2017 196  5 15   -0.27   335.1   5.73  1.29     2
2017 196  5 16   -0.31   335.8   5.64  1.27     2
2017 196  5 17   -0.40 99999.9 999.99 99.99     2
2017 196  5 18   -0.47   336.6   5.74  1.30     3
2017 196  5 19   -0.53   336.1   5.52  1.25     2
2017 196  5 20   -0.62   335.6   5.68  1.28     3
2017 196  5 21   -0.63   335.4   5.72  1.29     3
2017 196  5 22   -0.52   335.5   5.42  1.22     3
2017 196  5 23   -0.56   335.6   5.53  1.25     2
2017 196  5 24   -0.60   335.8   5.72  1.29     3
2017 196  5 25   -0.62   336.9   5.17  1.17     2
2017 196  5 26   -0.72   336.9   5.17  1.17     2
2017 196  5 27   -0.63   336.5   5.30  1.20     2
2017 196  5 28   -0.46   336.2   5.27  1.19     2
2017 196  5 29   -0.45   336.2   5.27  1.19     2
2017 196  5 30   -0.49   337.0   5.34  1.21     2
2017 196  5 31   -0.48   337.0   5.34  1.21     2
2017 196  5 32   -0.47   337.4   5.48  1.25     2
2017 196  5 33   -0.50   337.4   5.48  1.25     2
2017 196  5 34   -0.50 99999.9 999.99 99.99     2
2017 196  5 35   -0.54   336.8   5.57  1.26     2
2017 196  5 36   -0.52   336.8   5.57  1.26     2
2017 196  5 37   -0.57 99999.9 999.99 99.99     2
2017 196  5 38   -0.50   336.6   5.58  1.26     2
2017 196  5 39   -0.43   336.6   5.58  1.26     2
2017 196  5 40   -0.43 99999.9 999.99 99.99     2
2017 196  5 41   -0.42   334.1   5.41  1.21     1
2017 196  5 42   -0.46   334.1   5.41  1.21     2
2017 196  5 43   -0.45   333.8   5.19  1.16     2
2017 196  5 44   -0.48   335.4   5.17  1.16     2
2017 196  5 45   -0.65   335.4   5.27  1.19     2
2017 196  5 46   -0.78   334.6   5.39  1.21     2
2017 196  5 47   -0.83   335.4   5.19  1.17     2
2017 196  5 48   -0.90   336.1   5.12  1.16     3
